board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-30 22:06:00,,udp_tx,len=74 ok=1,,,,89.185.97.38,t0-169.1s
tdeck,2026-08-30 22:06:00,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-169.0s
tdeck,2026-08-30 22:06:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-146.4s
tdeck,2026-08-30 22:06:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-146.4s
heltec,2026-08-30 22:06:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-146.3s
heltec,2026-08-30 22:06:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-146.3s
tbeam,2026-08-30 22:06:23,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0-145.7s
tbeam,2026-08-30 22:06:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-145.7s
heltec,2026-08-30 22:06:29,,link_up,heartbeat,46:AF:97:2E:2B:86,3,-78,126384,t0-140.0s
heltec,2026-08-30 22:06:29,,got_ip,heartbeat,,,,126384,t0-140.0s
tbeam,2026-08-30 22:06:29,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-59,125841,t0-140.0s
tbeam,2026-08-30 22:06:29,,got_ip,heartbeat,,,,125841,t0-140.0s
tdeck,2026-08-30 22:06:30,,link_up,heartbeat,5A:AF:97:2E:2B:8B,3,-66,127408,t0-139.1s
tdeck,2026-08-30 22:06:30,,got_ip,heartbeat,,,,127408,t0-139.1s
tdeck,2026-08-30 22:06:33,,udp_tx,len=107 ok=1,,,,89.185.97.38,t0-136.4s
heltec,2026-08-30 22:06:38,,udp_tx,len=107 ok=1,,,,89.185.97.38,t0-131.0s
tbeam,2026-08-30 22:06:38,,udp_tx,len=107 ok=1,,,,89.185.97.38,t0-131.0s
tdeck,2026-08-30 22:06:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-116.5s
tdeck,2026-08-30 22:06:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-116.5s
heltec,2026-08-30 22:06:53,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0-116.1s
heltec,2026-08-30 22:06:53,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-116.1s
heltec,2026-08-30 22:06:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-116.1s
tbeam,2026-08-30 22:06:53,,udp_tx,len=66 ok=1,,,,89.185.97.38,t0-115.7s
tbeam,2026-08-30 22:06:53,,udp_tx,len=27 ok=1,,,,89.185.97.38,t0-115.7s
tbeam,2026-08-30 22:06:53,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-115.7s
tdeck,2026-08-30 22:06:54,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-114.8s
heltec,2026-08-30 22:06:54,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-114.7s
rak,2026-08-30 22:06:57,,link_up,eth heartbeat,,,,744514,t0-112.5s
rak,2026-08-30 22:06:57,,got_ip,eth heartbeat 192.168.68.72,,,,744514,t0-112.5s
rak,2026-08-30 22:06:57,,udp_rx,eth rx_n +2,,,,28,t0-112.5s
tdeck,2026-08-30 22:07:00,,udp_tx,len=73 ok=1,,,,89.185.97.38,t0-108.7s
tbeam,2026-08-30 22:07:01,,udp_tx,len=74 ok=1,,,,89.185.97.38,t0-108.6s
tdeck,2026-08-30 22:07:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-86.5s
tdeck,2026-08-30 22:07:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-86.5s
heltec,2026-08-30 22:07:23,,udp_tx,len=32 ok=1,,,,89.185.97.38,t0-86.2s
heltec,2026-08-30 22:07:23,,udp_rx,len=20 head=42454154,,,,89.185.97.38,t0-86.2s
