board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
heltec,2026-08-31 03:54:41,18714609,disconnected,8:ASSOC_LEAVE,,,,,our drop
heltec,2026-08-31 03:54:41,18714609,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
heltec,2026-08-31 03:54:44,18718034,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-31 03:54:45,18718611,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4004,live
heltec,2026-08-31 03:54:50,18723699,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=5 ip=1,
heltec,2026-08-31 03:55:50,18783703,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=65 ip=1,
heltec,2026-08-31 03:56:50,18843706,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=125 ip=1,
heltec,2026-08-31 03:57:50,18903706,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=185 ip=1,
heltec,2026-08-31 03:58:50,18963709,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=245 ip=1,
heltec,2026-08-31 03:59:50,19023715,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=305 ip=1,
heltec,2026-08-31 04:00:50,19083716,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=365 ip=1,
heltec,2026-08-31 04:01:50,19143716,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=425 ip=1,
heltec,2026-08-31 04:02:50,19203719,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=485 ip=1,
heltec,2026-08-31 04:03:50,19263721,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=545 ip=1,
heltec,2026-08-31 04:04:42,19315433,drop,,,,,,
heltec,2026-08-31 04:04:42,19315435,disconnected,8:ASSOC_LEAVE,,,,,our drop
heltec,2026-08-31 04:04:42,19315435,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
heltec,2026-08-31 04:04:45,19318866,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,live
heltec,2026-08-31 04:04:46,19319421,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3988,live
heltec,2026-08-31 04:04:50,19323724,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=4 ip=1,
heltec,2026-08-31 04:05:50,19383728,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=64 ip=1,
heltec,2026-08-31 04:06:50,19443730,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=124 ip=1,
heltec,2026-08-31 04:07:50,19503733,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=184 ip=1,
heltec,2026-08-31 04:08:50,19563736,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=244 ip=1,
heltec,2026-08-31 04:09:50,19623738,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=304 ip=1,
