board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-31 01:44:35,10908571,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4046,live
tbeam,2026-08-31 01:44:50,10923160,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=14 ip=1,
tbeam,2026-08-31 01:45:50,10983163,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=74 ip=1,
tbeam,2026-08-31 01:46:50,11043168,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=134 ip=1,
tbeam,2026-08-31 01:47:50,11103172,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=194 ip=1,
tbeam,2026-08-31 01:48:50,11163172,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=254 ip=1,
tbeam,2026-08-31 01:49:50,11223177,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=314 ip=1,
tbeam,2026-08-31 01:50:50,11283181,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=374 ip=1,
tbeam,2026-08-31 01:51:50,11343185,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=434 ip=1,
tbeam,2026-08-31 01:52:50,11403188,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=494 ip=1,
tbeam,2026-08-31 01:53:50,11463191,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=554 ip=1,
tbeam,2026-08-31 01:54:32,11505242,drop,,,,,,
tbeam,2026-08-31 01:54:32,11505246,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 01:54:32,11505246,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 01:54:35,11508695,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-59,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 01:54:36,11509342,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4100,live
tbeam,2026-08-31 01:54:50,11523192,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=13 ip=1,
tbeam,2026-08-31 01:55:50,11583193,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=73 ip=1,
tbeam,2026-08-31 01:56:50,11643198,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=133 ip=1,
tbeam,2026-08-31 01:57:50,11703202,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=193 ip=1,
tbeam,2026-08-31 01:58:50,11763202,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=253 ip=1,
tbeam,2026-08-31 01:59:50,11823202,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=313 ip=1,
tbeam,2026-08-31 02:00:50,11883205,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=373 ip=1,
tbeam,2026-08-31 02:01:50,11943205,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=433 ip=1,
tbeam,2026-08-31 02:02:50,12003206,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=493 ip=1,
tbeam,2026-08-31 02:03:50,12063207,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=553 ip=1,
tbeam,2026-08-31 02:04:33,12105990,drop,,,,,,
tbeam,2026-08-31 02:04:33,12105995,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 02:04:33,12105996,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:04:36,12109436,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-59,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:04:37,12109966,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3976,live
tbeam,2026-08-31 02:04:50,12123208,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=13 ip=1,
tbeam,2026-08-31 02:05:50,12183212,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=73 ip=1,
tbeam,2026-08-31 02:06:50,12243217,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=133 ip=1,
tbeam,2026-08-31 02:07:50,12303220,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=193 ip=1,
tbeam,2026-08-31 02:08:50,12363222,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=253 ip=1,
tbeam,2026-08-31 02:09:50,12423227,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=313 ip=1,
tbeam,2026-08-31 02:10:50,12483228,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=373 ip=1,
tbeam,2026-08-31 02:11:50,12543230,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=433 ip=1,
tbeam,2026-08-31 02:12:50,12603230,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=493 ip=1,
tbeam,2026-08-31 02:13:50,12663232,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=553 ip=1,
tbeam,2026-08-31 02:14:34,12706806,drop,,,,,,
tbeam,2026-08-31 02:14:34,12706812,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 02:14:34,12706812,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:14:37,12710271,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:14:38,12710830,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4024,live
tbeam,2026-08-31 02:14:50,12723235,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=12 ip=1,
tbeam,2026-08-31 02:15:50,12783240,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=72 ip=1,
tbeam,2026-08-31 02:16:50,12843243,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=132 ip=1,
tbeam,2026-08-31 02:17:50,12903247,link,up,5A:AF:97:2E:2B:8B,3,-54,age_s=192 ip=1,
tbeam,2026-08-31 02:18:50,12963250,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=252 ip=1,
tbeam,2026-08-31 02:19:50,13023253,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=312 ip=1,
tbeam,2026-08-31 02:20:50,13083254,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=372 ip=1,
tbeam,2026-08-31 02:21:50,13143254,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=432 ip=1,
tbeam,2026-08-31 02:22:50,13203254,link,up,5A:AF:97:2E:2B:8B,3,-61,age_s=492 ip=1,
tbeam,2026-08-31 02:23:50,13263258,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=552 ip=1,
tbeam,2026-08-31 02:24:34,13307715,drop,,,,,,
tbeam,2026-08-31 02:24:34,13307719,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 02:24:34,13307720,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-57,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:24:38,13311161,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-58,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:24:39,13311728,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4013,live
tbeam,2026-08-31 02:24:50,13323259,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=11 ip=1,
tbeam,2026-08-31 02:25:50,13383264,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=71 ip=1,
tbeam,2026-08-31 02:26:50,13443269,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=131 ip=1,
tbeam,2026-08-31 02:27:50,13503271,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=191 ip=1,
tbeam,2026-08-31 02:28:50,13563273,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=251 ip=1,
tbeam,2026-08-31 02:29:50,13623278,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=311 ip=1,
tbeam,2026-08-31 02:30:50,13683280,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=371 ip=1,
tbeam,2026-08-31 02:31:50,13743285,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=431 ip=1,
tbeam,2026-08-31 02:32:50,13803290,link,up,5A:AF:97:2E:2B:8B,3,-59,age_s=491 ip=1,
tbeam,2026-08-31 02:33:50,13863292,link,up,5A:AF:97:2E:2B:8B,3,-60,age_s=551 ip=1,
tbeam,2026-08-31 02:34:35,13908528,drop,,,,,,
tbeam,2026-08-31 02:34:35,13908533,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-31 02:34:35,13908534,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-31 02:34:39,13911973,assoc_connected,0,46:AF:97:2E:2B:86,3,-72,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-31 02:34:39,13912573,assoc_got_ip,0,46:AF:97:2E:2B:86,3,-72,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4045,live BSSID_CHANGE
tbeam,2026-08-31 02:34:50,13923299,link,up,46:AF:97:2E:2B:86,3,-71,age_s=10 ip=1,
tbeam,2026-08-31 02:35:50,13983303,link,up,46:AF:97:2E:2B:86,3,-73,age_s=70 ip=1,
tbeam,2026-08-31 02:36:50,14043305,link,up,46:AF:97:2E:2B:86,3,-71,age_s=130 ip=1,
tbeam,2026-08-31 02:37:50,14103308,link,up,46:AF:97:2E:2B:86,3,-70,age_s=190 ip=1,
tbeam,2026-08-31 02:38:50,14163313,link,up,46:AF:97:2E:2B:86,3,-72,age_s=250 ip=1,
tbeam,2026-08-31 02:39:50,14223314,link,up,46:AF:97:2E:2B:86,3,-72,age_s=310 ip=1,
tbeam,2026-08-31 02:40:50,14283317,link,up,46:AF:97:2E:2B:86,3,-72,age_s=370 ip=1,
tbeam,2026-08-31 02:41:50,14343319,link,up,46:AF:97:2E:2B:86,3,-70,age_s=430 ip=1,
tbeam,2026-08-31 02:42:50,14403321,link,up,46:AF:97:2E:2B:86,3,-72,age_s=490 ip=1,
tbeam,2026-08-31 02:43:50,14463325,link,up,46:AF:97:2E:2B:86,3,-70,age_s=550 ip=1,
tbeam,2026-08-31 02:44:36,14509356,drop,,,,,,
tbeam,2026-08-31 02:44:36,14509361,disconnected,8:ASSOC_LEAVE,,,,,our drop
