board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tdeck,2026-08-31 01:10:52,8885943,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=379 ip=1,
tdeck,2026-08-31 01:11:52,8945944,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=439 ip=1,
tdeck,2026-08-31 01:12:52,9005944,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=499 ip=1,
tdeck,2026-08-31 01:13:52,9065949,link,up,5A:AF:97:2E:2B:8B,3,-76,age_s=559 ip=1,
tdeck,2026-08-31 01:14:28,9102116,drop,,,,,,
tdeck,2026-08-31 01:14:28,9102118,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-31 01:14:28,9102118,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-31 01:14:32,9105570,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-31 01:14:33,9106534,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4418,live
tdeck,2026-08-31 01:14:52,9125954,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=19 ip=1,
tdeck,2026-08-31 01:15:52,9185956,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=79 ip=1,
tdeck,2026-08-31 01:16:52,9245959,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=139 ip=1,
tdeck,2026-08-31 01:17:52,9305962,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=199 ip=1,
tdeck,2026-08-31 01:18:52,9365965,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=259 ip=1,
tdeck,2026-08-31 01:19:52,9425968,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=319 ip=1,
tdeck,2026-08-31 01:20:52,9485968,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=379 ip=1,
tdeck,2026-08-31 01:21:52,9545969,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=439 ip=1,
tdeck,2026-08-31 01:22:52,9605972,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=499 ip=1,
tdeck,2026-08-31 01:23:52,9665973,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=559 ip=1,
tdeck,2026-08-31 01:24:29,9702828,drop,,,,,,
tdeck,2026-08-31 01:24:29,9702829,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-31 01:24:29,9702830,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-31 01:24:32,9706272,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-31 01:24:34,9707629,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-74,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=4801,live
tdeck,2026-08-31 01:24:52,9725973,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=18 ip=1,
tdeck,2026-08-31 01:25:52,9785974,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=78 ip=1,
tdeck,2026-08-31 01:26:52,9845976,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=138 ip=1,
tdeck,2026-08-31 01:27:52,9905979,link,up,5A:AF:97:2E:2B:8B,3,-76,age_s=198 ip=1,
tdeck,2026-08-31 01:28:52,9965980,link,up,5A:AF:97:2E:2B:8B,3,-76,age_s=258 ip=1,
tdeck,2026-08-31 01:29:52,10025982,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=318 ip=1,
tdeck,2026-08-31 01:30:52,10085984,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=378 ip=1,
tdeck,2026-08-31 01:31:52,10145986,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=438 ip=1,
tdeck,2026-08-31 01:32:52,10205991,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=498 ip=1,
tdeck,2026-08-31 01:33:52,10265994,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=558 ip=1,
tdeck,2026-08-31 01:34:30,10303766,drop,,,,,,
tdeck,2026-08-31 01:34:30,10303767,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-31 01:34:30,10303768,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-74,auth=7 phy=bgn pmf=0 wpa3=0,cached
tdeck,2026-08-31 01:34:33,10307216,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-75,auth=7 phy=bgn pmf=0 wpa3=0,live
tdeck,2026-08-31 01:34:35,10308802,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-74,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=5036,live
tdeck,2026-08-31 01:34:52,10325999,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=17 ip=1,
tdeck,2026-08-31 01:35:52,10386000,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=77 ip=1,
tdeck,2026-08-31 01:36:52,10446005,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=137 ip=1,
tdeck,2026-08-31 01:37:52,10506010,link,up,5A:AF:97:2E:2B:8B,3,-74,age_s=197 ip=1,
tdeck,2026-08-31 01:38:52,10566012,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=257 ip=1,
tdeck,2026-08-31 01:39:52,10626012,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=317 ip=1,
tdeck,2026-08-31 01:40:52,10686014,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=377 ip=1,
tdeck,2026-08-31 01:41:52,10746018,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=437 ip=1,
tdeck,2026-08-31 01:42:52,10806023,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=497 ip=1,
tdeck,2026-08-31 01:43:52,10866025,link,up,5A:AF:97:2E:2B:8B,3,-75,age_s=557 ip=1,
tdeck,2026-08-31 01:44:31,10904501,drop,,,,,,
tdeck,2026-08-31 01:44:31,10904502,disconnected,8:ASSOC_LEAVE,,,,,our drop
tdeck,2026-08-31 01:44:31,10904503,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-74,auth=7 phy=bgn pmf=0 wpa3=0,cached
