boot,log,reset_seen,aps_seen,best_rssi,worst_rssi,join_mode,join_bssid,connected_ms,got_ip_ms,ready_ms,ready_ip,disconnects,reasons,conn_errors,loop_max_us,stalls,stall_max_ms,first_join_ok
1,boot_001.log,1,2,-74,-91,ssid,,13821,14375,14794,1,0,,0,,0,,1
2,boot_002.log,1,2,-73,-84,ssid,,13694,14217,14666,1,0,,0,,0,,1
3,boot_003.log,1,2,-73,-88,ssid,,13577,14115,14563,1,0,,0,,0,,1
4,boot_004.log,1,2,-72,-90,ssid,,13466,14039,14460,1,0,,0,,0,,1
5,boot_005.log,1,2,-72,-90,ssid,,13319,13889,14301,1,0,,0,,0,,1
6,boot_006.log,1,2,-71,-88,ssid,,13315,13873,14296,1,0,,0,,0,,1
7,boot_007.log,1,2,-79,-89,ssid,,13205,13775,14181,1,0,,0,,0,,1
8,boot_008.log,1,2,-70,-87,ssid,,14063,14633,15051,1,0,,0,,0,,1
9,boot_009.log,1,2,-76,-91,ssid,,13998,14517,14957,1,0,,0,,0,,1
10,boot_010.log,1,2,-72,-89,ssid,,13859,14379,14817,1,0,,0,,0,,1
11,boot_011.log,1,2,-71,-84,ssid,,13689,14228,14673,1,0,,0,,0,,1
12,boot_012.log,1,2,-72,-92,ssid,,13655,14179,14630,1,0,,0,,0,,1
13,boot_013.log,1,2,-73,-92,ssid,,13580,14104,14552,1,0,,0,,0,,1
14,boot_014.log,1,2,-72,-84,ssid,,13367,13915,14375,1,0,,0,,0,,1
15,boot_015.log,1,2,-69,-88,ssid,,13272,13804,14246,1,0,,0,,0,,1
16,boot_016.log,1,2,-70,-88,ssid,,14126,14679,15099,1,0,,0,,0,,1
17,boot_017.log,1,2,-71,-89,ssid,,13943,14464,14921,1,0,,0,,0,,1
18,boot_018.log,1,2,-72,-86,ssid,,13948,14523,14926,1,0,,0,,0,,1
19,boot_019.log,1,2,-74,-90,ssid,,13887,14471,14859,1,0,,0,,0,,1
20,boot_020.log,1,2,-71,-90,ssid,,13762,14283,14740,1,0,,0,,0,,1
21,boot_021.log,1,1,-71,-71,ssid,,13757,14279,14730,1,0,,0,,0,,1
22,boot_022.log,1,2,-70,-89,ssid,,13561,14083,14543,1,0,,0,,0,,1
23,boot_023.log,1,2,-69,-89,ssid,,13363,13884,14317,1,0,,0,,0,,1
24,boot_024.log,1,2,-68,-89,ssid,,13184,13709,14153,1,0,,0,,0,,1
