board,wall,uptime_ms,kind,reason,bssid,chan,rssi,value,note
tbeam,2026-08-30 11:58:06,1925595,link,up,5A:AF:97:2E:2B:8B,3,-55,age_s=29 ip=1,
tbeam,2026-08-30 11:59:06,1985598,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=89 ip=1,
tbeam,2026-08-30 12:00:06,2045638,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=149 ip=1,
tbeam,2026-08-30 12:01:06,2105638,link,up,5A:AF:97:2E:2B:8B,3,-58,age_s=209 ip=1,
tbeam,2026-08-30 12:02:06,2165640,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=269 ip=1,
tbeam,2026-08-30 12:03:06,2225644,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=329 ip=1,
tbeam,2026-08-30 12:04:06,2285644,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=389 ip=1,
tbeam,2026-08-30 12:05:06,2345644,link,up,5A:AF:97:2E:2B:8B,3,-56,age_s=449 ip=1,
tbeam,2026-08-30 12:06:06,2405649,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=509 ip=1,
tbeam,2026-08-30 12:07:06,2465650,link,up,5A:AF:97:2E:2B:8B,3,-57,age_s=569 ip=1,
tbeam,2026-08-30 12:07:33,2492700,drop,,,,,,
tbeam,2026-08-30 12:07:33,2492705,disconnected,8:ASSOC_LEAVE,,,,,our drop
tbeam,2026-08-30 12:07:33,2492706,assoc_disconnected,8,5A:AF:97:2E:2B:8B,3,-56,auth=7 phy=bgn pmf=0 wpa3=0,cached
tbeam,2026-08-30 12:07:37,2496150,assoc_connected,0,5A:AF:97:2E:2B:8B,3,-54,auth=7 phy=bgn pmf=0 wpa3=0,live
tbeam,2026-08-30 12:07:37,2496679,assoc_got_ip,0,5A:AF:97:2E:2B:8B,3,-53,auth=7 phy=bgn pmf=0 wpa3=0 reconnect_ms=3979,live
tbeam,2026-08-30 12:08:06,2525653,link,up,5A:AF:97:2E:2B:8B,3,-54,age_s=28 ip=1,
